pl_name,sy_snum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,sy_dist,sy_disterr1,sy_disterr2
TRAPPIST-1 b,1,1.51087081,0.00000060,-0.00000060,0,0.011110,0.000340,-0.000340,0,1.086,0.035,-0.035,0,0.85000,0.72000,-0.72000,0,2559.00,50.00,-50.00,0,0.12,0.00,0.00,0,0.08,0.01,-0.01,0,,,
TRAPPIST-1 b,1,1.51082600,0.00000600,-0.00000600,0,0.011540,0.000100,-0.000100,0,1.116,0.014,-0.012,0,1.37400,0.06900,-0.06900,0,2566.00,26.00,-26.00,0,0.12,0.00,0.00,0,0.09,0.00,0.00,0,,,
TRAPPIST-1 c,1,2.42182330,0.00000170,-0.00000170,0,0.015210,0.000470,-0.000470,0,1.056,0.035,-0.035,0,1.38000,0.61000,-0.61000,0,2559.00,50.00,-50.00,0,0.12,0.00,0.00,0,0.08,0.01,-0.01,0,,,
TRAPPIST-1 c,1,2.42193700,0.00001800,-0.00001800,0,0.015800,0.000130,-0.000130,0,1.097,0.014,-0.012,0,1.30800,0.05600,-0.05600,0,2566.00,26.00,-26.00,0,0.12,0.00,0.00,0,0.09,0.00,0.00,0,,,
TRAPPIST-1 d,1,4.04921900,0.00002600,-0.00002600,0,0.022270,0.000190,-0.000190,0,0.788,0.011,-0.010,0,0.38800,0.01200,-0.01200,0,2566.00,26.00,-26.00,0,0.12,0.00,0.00,0,0.09,0.00,0.00,0,,,
TRAPPIST-1 d,1,4.04961000,0.00006300,-0.00006300,0,0.021440,0.000660,-0.000630,0,0.772,0.030,-0.030,0,0.41000,0.27000,-0.27000,0,2559.00,50.00,-50.00,0,0.12,0.00,0.00,0,0.08,0.01,-0.01,0,,,
TRAPPIST-1 e,1,6.09961500,0.00001100,-0.00001100,0,0.028170,0.000830,-0.000870,0,0.918,0.039,-0.039,0,0.62000,0.58000,-0.58000,0,2559.00,50.00,-50.00,0,0.12,0.00,0.00,0,0.08,0.01,-0.01,0,,,
TRAPPIST-1 e,1,6.10101300,0.00003500,-0.00003500,0,0.029250,0.002500,-0.002500,0,0.920,0.013,-0.012,0,0.69200,0.02200,-0.02200,0,2566.00,26.00,-26.00,0,0.12,0.00,0.00,0,0.09,0.00,0.00,0,,,
TRAPPIST-1 f,1,9.20754000,0.00003200,-0.00003200,0,0.038490,0.000330,-0.000330,0,1.045,0.013,-0.012,0,1.03900,0.03100,-0.03100,0,2566.00,26.00,-26.00,0,0.12,0.00,0.00,0,0.09,0.00,0.00,0,,,
TRAPPIST-1 f,1,9.20669000,0.00001500,-0.00001500,0,0.037100,0.001100,-0.001100,0,1.045,0.038,-0.038,0,0.68000,0.18000,-0.18000,0,2559.00,50.00,-50.00,0,0.12,0.00,0.00,0,0.08,0.01,-0.01,0,,,
TRAPPIST-1 g,1,12.35294000,0.00012000,-0.00012000,0,0.045100,0.001400,-0.001400,0,1.127,0.041,-0.041,0,1.34000,0.88000,-0.88000,0,2559.00,50.00,-50.00,0,0.12,0.00,0.00,0,0.08,0.01,-0.01,0,,,
TRAPPIST-1 g,1,12.35244600,0.00005400,-0.00005400,0,0.046830,0.000400,-0.000400,0,1.129,0.015,-0.013,0,1.32100,0.03800,-0.03800,0,2566.00,26.00,-26.00,0,0.12,0.00,0.00,0,0.09,0.00,0.00,0,,,
TRAPPIST-1 h,1,18.77286600,0.00021400,-0.00021400,0,0.061890,0.000530,-0.000530,0,0.755,0.014,-0.014,0,0.32600,0.02000,-0.02000,0,2566.00,26.00,-26.00,0,0.12,0.00,0.00,0,0.09,0.00,0.00,0,,,
LP 890-9 b,1,2.72990250,0.00000340,-0.00000400,0,0.018750,0.000100,-0.000100,0,1.320,0.053,-0.027,0,13.20000,,,1,2850.00,75.00,-75.00,0,0.16,0.01,-0.01,0,0.12,0.00,0.00,0,32.4298000,0.0702000,-0.0699000
LP 890-9 c,1,8.45746300,0.00002400,-0.00002400,0,0.039840,0.000220,-0.000220,0,1.367,0.055,-0.039,0,25.30000,,,1,2850.00,75.00,-75.00,0,0.16,0.01,-0.01,0,0.12,0.00,0.00,0,32.4298000,0.0702000,-0.0699000
LHS 1140 b,1,24.73712000,0.00025000,-0.00025000,0,0.087500,0.004100,-0.004100,0,1.430,0.100,-0.100,0,6.65000,1.82000,-1.82000,0,3131.00,100.00,-100.00,0,0.19,0.01,-0.01,0,0.15,0.02,-0.02,0,14.9861000,0.0153000,-0.0152000
GJ 1132 b,1,1.62893100,0.00002700,-0.00002700,0,0.015300,0.000500,-0.000500,0,1.130,0.056,-0.056,0,1.66000,0.23000,-0.23000,0,3270.00,140.00,-140.00,0,0.21,0.01,-0.01,0,0.18,0.02,-0.02,0,12.6130000,0.0070000,-0.0070000
GJ 1214 b,1,1.58040433,0.00000013,-0.00000013,0,0.014900,0.000260,-0.000260,0,2.742,0.050,-0.053,0,8.17000,0.43000,-0.43000,0,3250.00,100.00,-100.00,0,0.21,0.01,-0.01,0,0.18,0.01,-0.01,0,14.6427000,0.0372000,-0.0372000
LHS 1140 b,1,24.73694000,0.00041000,-0.00040000,0,0.095700,0.001900,-0.001900,0,1.635,0.046,-0.046,0,6.38000,0.46000,-0.44000,0,2988.00,67.00,-67.00,0,0.21,0.00,0.00,0,0.19,0.01,-0.01,0,14.9861000,0.0153000,-0.0152000
LHS 1140 b,1,24.73695900,0.00008000,-0.00008000,0,0.093600,0.002400,-0.002400,0,1.727,0.032,-0.032,0,6.98000,0.89000,-0.89000,0,3216.00,39.00,-39.00,0,0.21,0.00,0.00,0,0.18,0.01,-0.01,0,14.9861000,0.0153000,-0.0152000
LHS 1140 c,1,3.77792000,0.00003000,-0.00003000,0,0.027340,0.000540,-0.000540,0,1.169,0.037,-0.038,0,1.76000,0.17000,-0.16000,0,2988.00,67.00,-67.00,0,0.21,0.00,0.00,0,0.19,0.01,-0.01,0,14.9861000,0.0153000,-0.0152000
LHS 1140 c,1,3.77793100,0.00000300,-0.00000300,0,0.026750,0.000700,-0.000700,0,1.282,0.024,-0.024,0,1.81000,0.39000,-0.39000,0,3216.00,39.00,-39.00,0,0.21,0.00,0.00,0,0.18,0.01,-0.01,0,14.9861000,0.0153000,-0.0152000
GJ 1214 b,1,1.58040456,0.00000016,-0.00000016,0,0.014110,0.000320,-0.000320,0,2.847,0.202,-0.202,0,6.26125,0.85814,-0.85814,0,3026.00,150.00,-150.00,0,0.22,0.01,-0.01,0,0.15,0.01,-0.01,0,14.6427000,0.0372000,-0.0372000
LHS 1478 b,1,1.94953780,0.00000400,-0.00000410,0,0.018480,0.000610,-0.000630,0,1.242,0.051,-0.049,0,2.33000,0.20000,-0.20000,0,3381.00,54.00,-54.00,0,0.25,0.01,-0.01,0,0.24,0.01,-0.01,0,18.2276000,0.0110000,-0.0110000
K2-25 b,1,3.48456408,0.00000060,-0.00000050,0,0.028700,0.001200,-0.001200,0,3.440,0.120,-0.120,0,24.50000,5.70000,-5.20000,0,3207.00,58.00,-58.00,0,0.29,0.01,-0.01,0,0.26,0.01,-0.01,0,44.9565000,0.1664000,-0.1653000
L 98-59 b,1,2.25311360,0.00000120,-0.00000150,0,0.021910,0.000800,-0.000840,0,0.850,0.061,-0.047,0,0.40000,0.16000,-0.15000,0,3415.00,135.00,-135.00,0,0.30,0.03,-0.02,0,0.27,0.03,-0.03,0,10.6194000,0.0032000,-0.0032000
L 98-59 c,1,3.69067770,0.00000160,-0.00000260,0,0.030400,0.001100,-0.001200,0,1.385,0.095,-0.075,0,2.22000,0.26000,-0.25000,0,3415.00,135.00,-135.00,0,0.30,0.03,-0.02,0,0.27,0.03,-0.03,0,10.6194000,0.0032000,-0.0032000
L 98-59 d,1,7.45072450,0.00000810,-0.00000460,0,0.048600,0.001800,-0.001900,0,1.521,0.119,-0.098,0,1.94000,0.28000,-0.28000,0,3415.00,135.00,-135.00,0,0.30,0.03,-0.02,0,0.27,0.03,-0.03,0,10.6194000,0.0032000,-0.0032000
TOI-3884 b,1,4.54456970,0.00000940,-0.00000940,0,0.035400,0.001400,-0.001400,0,6.000,0.180,-0.180,0,16.50000,3.50000,-1.80000,0,3269.00,70.00,-70.00,0,0.30,0.01,-0.01,0,0.28,0.01,-0.01,0,43.1448000,0.1690000,-0.1678000
